product_url,product_price,product_specs,product_desc,product_tag,product_pmode,product_name
http://www.amazon.in/Micromax-Canvas-Turbo-A200-Black/dp/B00KGWK6L0," 7,722.00,
    
        
        
            ,
                  
        
      
",,,,,Micromax Canvas Turbo Mini A200 (Black)
http://www.amazon.in/XOLO-Play-8X-1100-Xolo-Black/dp/B00R7BDESA," 12,079.00",,,,,Xolo Play 8X-1100 (Black)
http://www.amazon.in/OPTA-Portable-Wireless-Speaker-Plug-n-Play/dp/B00MFR3SOG," 599.00,
    
        
        
            ,
                  
        
      
",,,,,OPTA Portable Wireless Mini Home Speaker(Plug-n-Play) - Pocket Speakers with self charge technology.!!!(Special Launch offer)
http://www.amazon.in/XOLO-6X-1000-Xolo-Play-White/dp/B00LMBSA9E," 7,990.00",,,,,Xolo Play 6X-1000 (White)
http://www.amazon.in/Micromax-AD4500-Grey/dp/B00QHZ44A4," 4,629.00",,,,,Micromax AD4500 (Grey)
http://www.amazon.in/Micromax-A092-Unite-Yellow/dp/B00NQVLL1M," 4,880.00",,,,,Micromax A092 Unite (Yellow)
http://www.amazon.in/XOLO-A500s-Lite-a500s-white/dp/B00KVF31JG," 3,999.00",,,,,Xolo a500s Lite white
http://www.amazon.in/Microsoft-Lumia-532-Dual-SIM/dp/B00T9NDHU4," 6,325.00",,,,,"Microsoft Lumia 532 (Dual SIM, White)"
http://www.amazon.in/XOLO-Q500s-IPS-Xolo-Green/dp/B00LUPM4VW," 13,000.00, 13,000.00",,,,,Xolo Q500s IPS (Green)
http://www.amazon.in/Samsung-Galaxy-Prime-SM-G360-Silver/dp/B00TO4NZY6," 9,050.00",,,,,Samsung Galaxy Core Prime SM-G360 (Silver)
http://www.amazon.in/Nokia-108-Dual-SIM-Black/dp/B00FFRCLJQ," 1,859.00",,,,,"Nokia 108 (Dual SIM, Black)"
http://www.amazon.in/Micromax-Canvas-Turbo-A250-Pristine/dp/B00G9YT50W," 11,800.00,
    
        
        
            ,
                  
        
      
",,,,,Micromax Canvas Turbo A250 (Pristine White)
http://www.amazon.in/HTC-Desire-526G-Plus-Glossy/dp/B00TB7NSOS," 10,900.00",,,,,HTC Desire 526G Plus (Glossy Black)
http://www.amazon.in/Panasonic-32759417-Eluga-U-Black/dp/B00MA7HSJM," 11,963.00",,,,,Panasonic Eluga U (Black)
http://www.amazon.in/Lenovo-A369i-A369I-White/dp/B00S17HGDS," 3,349.00",,,,,Lenovo A369I (White)
http://www.amazon.in/Samsung-Galaxy-SM-G313HU-Ceramic-White/dp/B00NAXWLEC," 6,101.00",,,,,Samsung Galaxy S Duos 3 SM-G313HU/DD (Ceramic White)
http://www.amazon.in/Nokia-XL-White-Dual-SIM/dp/B00IXD0QMS," 7,500.00,
    
        
        
            ,
                  
        
      
",,,,,"Nokia XL (White, Dual SIM)"
http://www.amazon.in/Lenovo-Platinum-Smartphone-Snapdragon-Quadcore/dp/B00TCCIKJU," 19,490.00",,,,,"Lenovo S90 Sisley Platinum Smartphone , Snapdragon 64bit Quadcore, 2GB RAM, 32GB ROM, 13MP Rear-8MP Front Camera"
http://www.amazon.in/Asus-Zenfone-16GB-Deep-Black/dp/B00NBZ6AKK," 16,999.00",,,,,"Asus Zenfone 6 (16GB, Deep Black)"
http://www.amazon.in/Lava-ARC-24-Black-Red/dp/B00NXM2RVW," 1,100.00",,,,,Lava ARC 24 (Black-Red)
http://www.amazon.in/Lava-Iris-X1-Grand-Black/dp/B00SYFH31W,"
    
        
        
            ,
                  
        
      
",,,,,Lava Iris X1 Grand (Ink Black)
http://www.amazon.in/XOLO-A500s-Lite-Xolo-Black/dp/B00KMVWIRU," 4,059.00",,,,,Xolo A500s Lite (Black)
http://www.amazon.in/Microsoft-Lumia-435-Dual-SIM/dp/B00T9NCS04," 5,550.00",,,,,"Microsoft Lumia 435 (Dual SIM, White)"
http://www.amazon.in/Micromax-Canvas-Doodle-A102-Blue/dp/B00P2HZ81M," 7,229.00",,,,,"Micromax Canvas Doodle 3 A102 (Blue, 8GB)"
http://www.amazon.in/Panasonic-P55-Deep-Blue/dp/B00PFWIVY0," 9,600.00, 9,600.00",,,,,Panasonic P55 (Deep Blue)
http://www.amazon.in/Micromax-Canvas-Doodle-A102-White/dp/B00JUZ40FC," 7,291.00",,,,,"Micromax Canvas Doodle 3 A102 (White, 1GB RAM)"
http://www.amazon.in/Samsung-Guru-GT-E1200-Indigo-Blue/dp/B008OPT50Y," 1,120.00",,,,,Samsung Guru GT-E1200 (Indigo Blue)
http://www.amazon.in/Micromax-Bolt-A24-Champange/dp/B00I060SSA," 2,228.00",,,,,Micromax Bolt A24 (Champange)
http://www.amazon.in/Micromax-Bolt-A069-White/dp/B00LHY5HA6," 5,800.00",,,,,Micromax Bolt A069 (White)
http://www.amazon.in/Lenovo-A850-Black/dp/B00GWBW11W," 7,660.00",,,,,Lenovo A850 (Black)
http://www.amazon.in/Micromax-Canvas-Gold-A300-White-Gold/dp/B00LEFNTPI," 18,666.00,
    
        
        
            ,
                  
        
      
",,,,,Micromax Canvas Gold A300 (White-Gold)
http://www.amazon.in/Microsoft-Lumia-435-Dual-SIM/dp/B00T9NCN0O," 5,550.00",,,,,"Microsoft Lumia 435 (Dual SIM, Orange)"
http://www.amazon.in/Sony-Xperia-C3-Starry-Black/dp/B00LWT6EF8," 19,399.00,
    
        
        
            ,
                  
        
      
",,,,,Sony Xperia C3 Dual (Starry Black)
http://www.amazon.in/MICROMAX-CANVAS-XPRESS-A99-SILVER/dp/B00TSHE1RO," 6,900.00",,,,,MICROMAX CANVAS XPRESS A99 (SILVER)
http://www.amazon.in/Karbonn-Titanium-Octane-Plus-White/dp/B00NFY41GW," 10,000.00",,,,,Karbonn Titanium Octane Plus White
http://www.amazon.in/Micromax-Canvas-Plus-A190-Black/dp/B00LWT7394," 9,940.00",,,,,Micromax Canvas HD Plus A190 (Black)
http://www.amazon.in/Karbonn-MACHONE-Smart-Phone/dp/B00T79TLFA," 6,775.00",,,,,Karbonn MACHONE Smart Phone
http://www.amazon.in/Lenovo-A859-White/dp/B00JRSW824," 8,418.00",,,,,Lenovo A859 (White)
http://www.amazon.in/Spice-Mi-524-Stellar-White/dp/B00P7LJWT2," 7,989.00",,,,,Spice Stellar Mi-524 (White)
http://www.amazon.in/Gionee-L800-Champagne-Coffee/dp/B00J7HQTCK," 2,200.00",,,,,Gionee L800 (Champagne-Coffee)
http://www.amazon.in/Intex-Smart-Mobile-Phone-Black/dp/B00SBMQZ0S," 4,440.40, 4,440.40",,,,,Intex Aqua 4.5e Smart Mobile Phone (Black)
http://www.amazon.in/Gionee-Elife-S5-1-White/dp/B00SINAR90," 16,799.00",,,,,Gionee Elife S5.1 (White)
http://www.amazon.in/XOLO-A500-Club-Xolo-Blue/dp/B00L2AV9VQ," 4,499.00",,,,,Xolo A500 Club (Blue)
http://www.amazon.in/Lava-Iris-465-Black/dp/B00TS7YIAY,,,,,,Lava Iris 465 (Black)
http://www.amazon.in/Micromax-Bolt-A71-White/dp/B00I0SL526," 4,973.00",,,,,Micromax Bolt A71 (White)
http://www.amazon.in/Spice-Flo-Rainbow-M-6111-Blue/dp/B00KVG2ZDS," 2,490.00",,,,,Spice Flo Rainbow M-6111 (Blue)
http://www.amazon.in/Karbonn-K-Phone-1-White-Champagne/dp/B00MOFSZCO," 1,373.00",,,,,Karbonn K Phone 1 (White-Champagne)
http://www.amazon.in/Samsung-Galaxy-E5-Black/dp/B00SF8UNE2," 16,320.00",,,,,Samsung Galaxy E5 (Black)
http://www.amazon.in/smartplay-B24C-CDMA-Mobile-Black/dp/B00N3VEISI," 1,999.00, 1,999.00",,,,,smartplay B24C CDMA + GSM Mobile (Black)
http://www.amazon.in/Karbonn-Sparkle-Android-One-Phone/dp/B00PH3RPR6," 4,984.00",,,,,Karbonn Sparkle V | Android One Phone | Red
http://www.amazon.in/Micromax-A093-Fire-White-Gold/dp/B00LUQXY5G,,,,,,Micromax Fire A093 (White-Gold)
http://www.amazon.in/Samsung-Galaxy-SM-G313H-Ceramic-White/dp/B00LQN7RYM," 6,451.00, 6,451.00",,,,,Samsung Galaxy Ace NXT SM-G313H (Ceramic White)
http://www.amazon.in/Karbonn-Titanium-S99-Black/dp/B00LA1IUPK," 9,800.00, 9,800.00",,,,,Karbonn Titanium S99 (Black)
http://www.amazon.in/Karbonn-Titanium-S5-Ultra-White/dp/B00PQ8XZ4Y," 6,195.00",,,,,Karbonn Titanium S5 Ultra (White)
http://www.amazon.in/Nokia-220-Dual-SIM-Red/dp/B00K79LPJ4," 2,700.00",,,,,"Nokia 220 (Dual SIM, Red)"
http://www.amazon.in/Intex-Cloud-Firefox-Smart-Mobile/dp/B00PQJYKME," 2,300.00, 2,300.00",,,,,Intex Cloud FX OS Firefox 1.3 Smart Mobile Phone - Black
http://www.amazon.in/T-Series-Mobiles-T12-T12_Blue/dp/B00S68B7MI," 679.00, 679.00",,,,,T-Series Mobiles T12_Blue
http://www.amazon.in/Spice-Stellar-Mi-451-3G-Grey/dp/B00PL7TSYQ," 4,390.00",,,,,Spice Stellar Mi-451 3G (Grey)
http://www.amazon.in/Samsung-Galaxy-Note-4-Black/dp/B00OKDXK0U," 49,900.00",,,,,Samsung Galaxy Note 4 (Black)
http://www.amazon.in/Sony-T3-Xperia-Purple/dp/B00M1TBKWU," 16,788.00",,,,,Sony Xperia T3 (Purple)
http://www.amazon.in/iBall-Andi-Uddaan-White/dp/B00HK7VBNQ," 6,080.00",,,,,iBall Andi Uddaan (White)
http://www.amazon.in/Micromax-Canvas-Doodle-A102-Blue/dp/B00JUZHVEO," 7,899.00",,,,,Micromax Canvas Doodle 3 A102 (Blue)
http://www.amazon.in/Sony-Xperia-C1504-Single-Black/dp/B00CSFE092," 6,200.00, 6,200.00",,,,,"Sony Xperia E C1504 (Single SIM, Black)"
http://www.amazon.in/Sony-Xperia-E1-Dual-White/dp/B00JHAAK8G," 6,300.00",,,,,"Sony Xperia E1 (Dual SIM, White)"
http://www.amazon.in/XOLO-Q610s-Xolo-Black/dp/B00N8X664K," 5,999.00",,,,,Xolo Q610s (Black)
http://www.amazon.in/Sony-Xperia-Z2-Purple/dp/B00KBNADKI," 34,000.00",,,,,Sony Xperia Z2 (Purple)
http://www.amazon.in/BQ-K80-Touch-Phone-Screen/dp/B00LSPA8K8," 1,599.00",,,,,"BQ K80 Touch Phone with IPS""Screen"
http://www.amazon.in/iBall-PEARL-D3-Mobile-Silver/dp/B00SR4W1TY," 1,650.00",,,,,iBall Andi PEARL D3 Mobile Phone Grey+Silver
http://www.amazon.in/Panasonic-P41-Pearl-White/dp/B00M87O9UK," 7,900.00, 7,900.00",,,,,Panasonic P41 (Pearl White)
http://www.amazon.in/Intex-Star-HD-Mobile-Grey-Champagne/dp/B00OQ8OPGC," 8,786.00",,,,,Intex Aqua Star HD Mobile -Grey-Champagne
http://www.amazon.in/Karbonn-Titanium-S201-Android-Processor/dp/B00UD4ZXGE,,,,,,"Karbonn Titanium Dazzle S201 5-Inch Android Kitkat, Quad Core Processor, 1 GB RAM and 8 GB ROM - White"
http://www.amazon.in/MTECH-G7-BLACK-8GB-PHONE/dp/B00QA19YO6,,,,,,MTECH G7 BLACK 8GB GSM PHONE
http://www.amazon.in/Sony-Xperia-T2-Ultra-White/dp/B00I0SMGYM," 20,785.00",,,,,Sony Xperia T2 Ultra Dual (White)
http://www.amazon.in/Spice-M-5021-Boss-White-Blue/dp/B00MCMXMIG,,,,,,Spice Boss M-5021 (White-Blue)
